"wallet,""total_points"""
"0x8215c54e3720f50598409a05d7a707f2ee006395,""43"""
"0x822efb58519cedba1812c47cc93e47b0cf234034,""103"""
"0x823968090d18b5212fbd0eadae5860009f5aa8d3,""43"""
"0x823a922a04a06763e4807553282e9fa4036ebe26,""246"""
"0x8241327273269345c8f5b2b73a53de10edeb3c9b,""16503"""
"0x824346752253ce8eba43517aa79c1d4c872f00eb,""1283"""
"0x8265e4c8c9fd8ebf18ca857e4fe25ccf6e945833,""163"""
"0x8269049c3577c5340a5ce952ca5934373cbb8777,""43"""
"0x8284523e6502874f44aeb43f357783e7a4ec7c05,""303"""
"0x828bc72ff69175dd3f7e486f7f8fa848f1857616,""12723"""
"0x8294d8cc4687cab626abfbdf54f0cb30b3193d01,""36435"""
"0x829da8ba7a32f64a65d3ea7811e77849f8e88137,""13743"""
"0x82a34496b5420dd06a048da5908ceeca1b7c9c8c,""43"""
"0x82b755f4d1795ee5f136e62bd9fe3d9d5b721fd4,""43"""
"0x82b968064604c28740ddecb5ebea1036745c4644,""163"""
"0x82c700d0e8e4555633e22365870c9aab3cefee6a,""203"""
"0x82dcaa2e5c32116e1c5c2cc877b7ce694d5eb6a1,""1220"""
"0x82e2ae939d1ac257c61d0370090bb8812fb6a528,""25985"""
"0x82e609af8977aca62732be316756d189ec63f8e0,""18403"""
"0x82e970d87ee2bc93819a3dea3ac53f2baafb56c0,""129"""
"0x82f10eac823b8193119a7efe67e8125c1847a2a2,""103"""
"0x83047099a8ee611354d1a8f3ccd29e764762a501,""835"""
"0x83088d15aa3ba300f3c25907f8de128630d948f9,""855"""
"0x8309766a5deec8c3693dc380c0b1ee913fde8bc3,""16194"""
"0x830e777b062d5cc309f7f094937f77bed05b7e54,""943"""
"0x8314f1f759c6ddf72d43b3ce72136b96560a0420,""103"""
0x831516b3B37d79DedD24bc50b0f97319b41758D4,NULL
"0x8321ca25d820f21985c153786dcc43257cfd0c38,""283"""
"0x83275aa644fb16f631cadb4a8f1e3f3e281c1f03,""874"""
"0x832b020f40a78f65f8a045348f45fe5d10181388,""43"""
"0x833578a6998aa32070aff229f90db5db2da3e64e,""43"""
"0x8337975e6d4aa30933b9f7ad1f2845e0f6497998,""1045"""
"0x834bd9b272131c26b5dec4353d0857e238234a80,""1206"""
"0x83511bc5d33153d16c707a5aa4e844237726fd35,""20"""
"0x83645b4ba83f5e5f9a12ad6261a25685e7779437,""283"""
"0x83717eccd4eb271bab9eb1c9b8148c4c19bb5348,""673"""
"0x83735b11f2bd56a3a8d3d4d70fda774698ddb1e0,""1283"""
"0x8375498600b3224cbfbdb17a3a8f1216ab98d14e,""831"""
"0x838dbb8c36f2d86e867395eab46a365137b5906c,""13943"""
"0x83914c5f36f2ad189723aef28d83553486b57ce1,""43"""
"0x839505c3a900954de852e162bf41d4d628636fd6,""2136"""
